t_k	Y1	Y2	Y3
0.0841506	1.08533	1.12558	0.906743
0.084785	1.08598	1.12652	0.905968
0.0854196	1.08662	1.12746	0.905191
0.0860544	1.08727	1.12839	0.904414
0.0866893	1.08792	1.12933	0.903635
0.0873244	1.08857	1.13027	0.902855
0.0879596	1.08922	1.1312	0.902073
0.088595	1.08986	1.13214	0.90129
0.0892306	1.09051	1.13308	0.900506
0.0898663	1.09116	1.13401	0.89972
0.0905022	1.09181	1.13495	0.898934
0.0911382	1.09246	1.13589	0.898145
0.0917745	1.09311	1.13682	0.897356
0.0924108	1.09376	1.13776	0.896565
0.0930474	1.09441	1.1387	0.895773
0.0936841	1.09506	1.13963	0.894979
0.0943211	1.09571	1.14057	0.894185
0.0949581	1.09636	1.1415	0.893388
0.0955954	1.097	1.14244	0.892591
0.0962329	1.09765	1.14338	0.891792
0.0968705	1.09831	1.14431	0.890992
0.0975083	1.09896	1.14525	0.89019
0.0981463	1.09961	1.14619	0.889387
0.0987845	1.10026	1.14712	0.888583
0.0994228	1.10091	1.14806	0.887777
0.100061	1.10156	1.14899	0.88697
0.1007	1.10221	1.14993	0.886162
0.101339	1.10286	1.15087	0.885352
0.101978	1.10351	1.1518	0.884541
0.102618	1.10416	1.15274	0.883728
0.103257	1.10481	1.15367	0.882914
0.103897	1.10547	1.15461	0.882099
0.104537	1.10612	1.15555	0.881282
0.105177	1.10677	1.15648	0.880464
0.105817	1.10742	1.15742	0.879644
0.106458	1.10807	1.15835	0.878823
0.107098	1.10873	1.15929	0.878001
0.107739	1.10938	1.16023	0.877177
0.10838	1.11003	1.16116	0.876352
0.109022	1.11068	1.1621	0.875525
0.109663	1.11134	1.16303	0.874697
0.110305	1.11199	1.16397	0.873867
0.110947	1.11264	1.16491	0.873036
0.111589	1.1133	1.16584	0.872204
0.112232	1.11395	1.16678	0.87137
0.112875	1.1146	1.16771	0.870535
0.113518	1.11526	1.16865	0.869698
0.114161	1.11591	1.16958	0.86886
0.114804	1.11656	1.17052	0.86802
0.115448	1.11722	1.17146	0.867179
0.116091	1.11787	1.17239	0.866336
0.116735	1.11852	1.17333	0.865492
0.11738	1.11918	1.17426	0.864647
0.118024	1.11983	1.1752	0.8638
0.118669	1.12049	1.17613	0.862951
0.119314	1.12114	1.17707	0.862101
0.119959	1.1218	1.178	0.86125
0.120605	1.12245	1.17894	0.860397
0.12125	1.12311	1.17987	0.859542
0.121896	1.12376	1.18081	0.858686
0.122543	1.12442	1.18175	0.857829
0.123189	1.12507	1.18268	0.85697
0.123836	1.12573	1.18362	0.856109
0.124483	1.12638	1.18455	0.855247
0.12513	1.12704	1.18549	0.854383
0.125778	1.1277	1.18642	0.853518
0.126425	1.12835	1.18736	0.852652
0.127073	1.12901	1.18829	0.851783
0.127722	1.12966	1.18923	0.850914
0.12837	1.13032	1.19016	0.850042
0.129019	1.13098	1.1911	0.849169
0.129668	1.13163	1.19203	0.848295
0.130318	1.13229	1.19297	0.847419
0.130967	1.13295	1.1939	0.846542
0.131617	1.1336	1.19484	0.845662
0.132267	1.13426	1.19577	0.844782
0.132918	1.13492	1.19671	0.843899
0.133569	1.13557	1.19764	0.843016
0.13422	1.13623	1.19858	0.84213
0.134871	1.13689	1.19951	0.841243
0.135523	1.13755	1.20045	0.840354
0.136175	1.1382	1.20138	0.839464
0.136827	1.13886	1.20232	0.838572
0.137479	1.13952	1.20325	0.837679
0.138132	1.14018	1.20419	0.836784
0.138785	1.14084	1.20512	0.835887
0.139439	1.14149	1.20606	0.834989
0.140092	1.14215	1.20699	0.834089
0.140746	1.14281	1.20793	0.833187
0.141401	1.14347	1.20886	0.832284
0.142055	1.14413	1.20979	0.831379
0.14271	1.14479	1.21073	0.830472
0.143366	1.14545	1.21166	0.829564
0.144021	1.14611	1.2126	0.828654
0.144677	1.14676	1.21353	0.827743
0.145333	1.14742	1.21447	0.826829
0.14599	1.14808	1.2154	0.825915
0.146647	1.14874	1.21634	0.824998
0.147304	1.1494	1.21727	0.82408
0.147962	1.15006	1.2182	0.82316
0.14862	1.15072	1.21914	0.822238
0.149278	1.15138	1.22007	0.821314
0.149936	1.15204	1.22101	0.820389
0.150595	1.1527	1.22194	0.819463
0.151254	1.15336	1.22287	0.818534
0.151914	1.15402	1.22381	0.817604
0.152574	1.15468	1.22474	0.816672
0.153234	1.15534	1.22568	0.815738
0.153894	1.156	1.22661	0.814804
0.154553	1.15666	1.22754	0.81387
0.155211	1.15732	1.22847	0.812936
0.155868	1.15797	1.2294	0.812001
0.156524	1.15863	1.23032	0.811067
0.15718	1.15928	1.23125	0.810132
0.157834	1.15994	1.23217	0.809198
0.158488	1.16059	1.23309	0.808263
0.159141	1.16124	1.23401	0.807329
0.159794	1.16189	1.23493	0.806394
0.160445	1.16254	1.23584	0.805459
0.161096	1.16319	1.23676	0.804524
0.161746	1.16383	1.23767	0.803589
0.162395	1.16448	1.23858	0.802654
0.163043	1.16512	1.23949	0.801719
0.163691	1.16577	1.24039	0.800784
0.164338	1.16641	1.2413	0.799848
0.164984	1.16705	1.2422	0.798913
0.165629	1.16769	1.24311	0.797977
0.166274	1.16833	1.24401	0.797042
0.166918	1.16897	1.24491	0.796106
0.16756	1.1696	1.2458	0.795171
0.168203	1.17024	1.2467	0.794235
0.168844	1.17088	1.24759	0.793299
0.169485	1.17151	1.24849	0.792363
0.170125	1.17214	1.24938	0.791427
0.170764	1.17278	1.25027	0.790491
0.171402	1.17341	1.25116	0.789555
0.17204	1.17404	1.25204	0.788618
0.172677	1.17467	1.25293	0.787682
0.173313	1.17529	1.25381	0.786746
0.173949	1.17592	1.25469	0.785809
0.174584	1.17655	1.25557	0.784873
0.175218	1.17717	1.25645	0.783936
0.175851	1.17779	1.25733	0.783
0.176483	1.17842	1.2582	0.782063
0.177115	1.17904	1.25907	0.781126
0.177746	1.17966	1.25995	0.780189
0.178377	1.18028	1.26082	0.779252
0.179007	1.1809	1.26168	0.778315
0.179635	1.18152	1.26255	0.777378
0.180264	1.18213	1.26342	0.776441
0.180891	1.18275	1.26428	0.775504
0.181518	1.18336	1.26514	0.774566
0.182144	1.18398	1.266	0.773629
0.18277	1.18459	1.26686	0.772691
0.183394	1.1852	1.26772	0.771754
0.184018	1.18581	1.26858	0.770816
0.184642	1.18642	1.26943	0.769879
0.185264	1.18703	1.27029	0.768941
0.185886	1.18764	1.27114	0.768003
0.186508	1.18824	1.27199	0.767065
0.187128	1.18885	1.27284	0.766127
0.187748	1.18945	1.27368	0.765189
0.188367	1.19006	1.27453	0.764251
0.188986	1.19066	1.27537	0.763313
0.189604	1.19126	1.27621	0.762375
0.190221	1.19186	1.27705	0.761437
0.190837	1.19246	1.27789	0.760498
0.191453	1.19306	1.27873	0.75956
0.192068	1.19366	1.27957	0.758621
0.192683	1.19425	1.2804	0.757683
0.193297	1.19485	1.28124	0.756744
0.19391	1.19544	1.28207	0.755805
0.194522	1.19604	1.2829	0.754867
0.195134	1.19663	1.28373	0.753928
0.195745	1.19722	1.28455	0.752989
0.196356	1.19781	1.28538	0.75205
0.196966	1.1984	1.2862	0.751111
0.197575	1.19899	1.28703	0.750172
0.198184	1.19958	1.28785	0.749233
0.198791	1.20016	1.28867	0.748294
0.199399	1.20075	1.28948	0.747354
0.200005	1.20133	1.2903	0.746415
0.200611	1.20192	1.29112	0.745476
0.201217	1.2025	1.29193	0.744536
0.201822	1.20308	1.29274	0.743597
0.202426	1.20366	1.29355	0.742657
0.203029	1.20424	1.29436	0.741717
0.203632	1.20482	1.29517	0.740778
0.204234	1.2054	1.29598	0.739838
0.204836	1.20598	1.29678	0.738898
0.205437	1.20655	1.29758	0.737958
0.206037	1.20713	1.29839	0.737018
0.206637	1.2077	1.29919	0.736078
0.207236	1.20827	1.29999	0.735138
0.207835	1.20884	1.30078	0.734198
0.208433	1.20942	1.30158	0.733258
0.20903	1.20999	1.30237	0.732317
0.209627	1.21056	1.30317	0.731377
0.210223	1.21112	1.30396	0.730437
0.210818	1.21169	1.30475	0.729496
0.211413	1.21226	1.30554	0.728556
0.212008	1.21282	1.30632	0.727615
0.212601	1.21339	1.30711	0.726675
0.213194	1.21395	1.30789	0.725734
0.213787	1.21451	1.30868	0.724793
0.214379	1.21507	1.30946	0.723852
0.21497	1.21563	1.31024	0.722911
0.215561	1.21619	1.31102	0.721971
0.216151	1.21675	1.3118	0.72103
0.216741	1.21731	1.31257	0.720089
0.21733	1.21787	1.31335	0.719147
0.217918	1.21842	1.31412	0.718206
0.218506	1.21898	1.31489	0.717265
0.219093	1.21953	1.31566	0.716324
0.21968	1.22008	1.31643	0.715382
0.220266	1.22064	1.3172	0.714441
0.220852	1.22119	1.31796	0.7135
0.221437	1.22174	1.31873	0.712558
0.222021	1.22229	1.31949	0.711617
0.222605	1.22283	1.32025	0.710675
0.223188	1.22338	1.32101	0.709733
0.223771	1.22393	1.32177	0.708792
0.224353	1.22447	1.32253	0.70785
0.224935	1.22502	1.32328	0.706908
0.225516	1.22556	1.32404	0.705966
0.226096	1.2261	1.32479	0.705024
0.226676	1.22665	1.32554	0.704082
0.227255	1.22719	1.3263	0.70314
0.227834	1.22773	1.32704	0.702198
0.228412	1.22826	1.32779	0.701256
0.22899	1.2288	1.32854	0.700313
0.229567	1.22934	1.32928	0.699371
0.230144	1.22988	1.33003	0.698429
0.23072	1.23041	1.33077	0.697486
0.231296	1.23095	1.33151	0.696544
0.231871	1.23148	1.33225	0.695602
0.232445	1.23201	1.33299	0.694659
0.233019	1.23254	1.33373	0.693716
0.233593	1.23307	1.33446	0.692774
0.234166	1.2336	1.3352	0.691831
0.234738	1.23413	1.33593	0.690888
0.23531	1.23466	1.33666	0.689945
0.235881	1.23519	1.33739	0.689003
0.236452	1.23571	1.33812	0.68806
0.237022	1.23624	1.33885	0.687117
0.237592	1.23676	1.33957	0.686174
0.238161	1.23728	1.3403	0.685231
0.23873	1.23781	1.34102	0.684287
0.239298	1.23833	1.34174	0.683344
0.239866	1.23885	1.34246	0.682401
0.240433	1.23937	1.34318	0.681458
0.241	1.23989	1.3439	0.680514
0.241566	1.2404	1.34462	0.679571
0.242132	1.24092	1.34533	0.678628
0.242697	1.24144	1.34604	0.677684
0.243261	1.24195	1.34676	0.676741
0.243825	1.24247	1.34747	0.675797
0.244389	1.24298	1.34818	0.674853
0.244952	1.24349	1.34889	0.67391
0.245515	1.244	1.34959	0.672966
0.246077	1.24451	1.3503	0.672022
0.246639	1.24502	1.351	0.671078
0.2472	1.24553	1.35171	0.670134
0.24776	1.24604	1.35241	0.669191
0.248321	1.24655	1.35311	0.668247
0.24888	1.24705	1.35381	0.667302
0.24944	1.24756	1.35451	0.666358
0.249998	1.24806	1.3552	0.665414
0.250556	1.24857	1.3559	0.66447
0.251114	1.24907	1.35659	0.663526
0.251671	1.24957	1.35729	0.662582
0.252228	1.25007	1.35798	0.661637
0.252785	1.25057	1.35867	0.660693
0.25334	1.25107	1.35936	0.659748
0.253896	1.25157	1.36004	0.658804
0.254451	1.25207	1.36073	0.65786
0.255005	1.25256	1.36142	0.656915
0.255559	1.25306	1.3621	0.65597
0.256112	1.25355	1.36278	0.655026
0.256665	1.25405	1.36346	0.654081
0.257218	1.25454	1.36414	0.653136
0.25777	1.25503	1.36482	0.652191
0.258322	1.25552	1.3655	0.651247
0.258873	1.25601	1.36617	0.650302
0.259424	1.2565	1.36685	0.649357
0.259974	1.25699	1.36752	0.648412
0.260523	1.25748	1.36819	0.647467
0.261073	1.25796	1.36887	0.646522
0.261622	1.25845	1.36954	0.645577
0.26217	1.25893	1.3702	0.644631
0.262718	1.25942	1.37087	0.643686
0.263265	1.2599	1.37154	0.642741
0.263813	1.26038	1.3722	0.641796
0.264359	1.26086	1.37286	0.64085
0.264905	1.26134	1.37353	0.639905
0.265451	1.26182	1.37419	0.63896
0.265996	1.2623	1.37485	0.638014
0.266541	1.26278	1.3755	0.637069
0.267085	1.26326	1.37616	0.636123
0.267629	1.26373	1.37682	0.635177
0.268173	1.26421	1.37747	0.634232
0.268716	1.26468	1.37812	0.633286
0.269259	1.26516	1.37878	0.63234
0.269801	1.26563	1.37943	0.631395
0.270343	1.2661	1.38008	0.630449
0.270884	1.26657	1.38072	0.629503
0.271425	1.26704	1.38137	0.628557
0.271965	1.26751	1.38202	0.627611
0.272505	1.26798	1.38266	0.626665
0.273045	1.26845	1.3833	0.625719
0.273584	1.26892	1.38395	0.624773
0.274123	1.26938	1.38459	0.623827
0.274661	1.26985	1.38523	0.622881
0.275199	1.27031	1.38586	0.621934
0.275737	1.27077	1.3865	0.620988
0.276274	1.27124	1.38714	0.620042
0.27681	1.2717	1.38777	0.619095
0.277347	1.27216	1.38841	0.618149
0.277882	1.27262	1.38904	0.617203
0.278418	1.27308	1.38967	0.616256
0.278953	1.27354	1.3903	0.61531
0.279487	1.27399	1.39093	0.614363
0.280022	1.27445	1.39155	0.613417
0.280555	1.2749	1.39218	0.61247
0.281089	1.27536	1.3928	0.611523
0.281622	1.27581	1.39343	0.610577
0.282154	1.27627	1.39405	0.60963
0.282686	1.27672	1.39467	0.608683
0.283218	1.27717	1.39529	0.607736
0.283749	1.27762	1.39591	0.606789
0.28428	1.27807	1.39653	0.605842
0.284811	1.27852	1.39714	0.604896
0.285341	1.27897	1.39776	0.603949
0.285871	1.27941	1.39837	0.603002
0.2864	1.27986	1.39898	0.602054
0.286929	1.28031	1.3996	0.601107
0.287458	1.28075	1.40021	0.60016
0.287986	1.28119	1.40081	0.599213
0.288514	1.28164	1.40142	0.598266
0.289041	1.28208	1.40203	0.597319
0.289568	1.28252	1.40263	0.596371
0.290095	1.28296	1.40324	0.595424
0.290621	1.2834	1.40384	0.594477
0.291147	1.28384	1.40444	0.593529
0.291672	1.28428	1.40504	0.592582
0.292197	1.28472	1.40564	0.591634
0.292722	1.28515	1.40624	0.590687
0.293246	1.28559	1.40684	0.589739
0.29377	1.28602	1.40743	0.588791
0.294294	1.28646	1.40803	0.587844
0.294817	1.28689	1.40862	0.586896
0.29534	1.28732	1.40922	0.585948
0.295862	1.28775	1.40981	0.585001
0.296384	1.28818	1.4104	0.584053
0.296906	1.28861	1.41098	0.583105
0.297427	1.28904	1.41157	0.582157
0.297948	1.28947	1.41216	0.581209
0.298469	1.2899	1.41274	0.580261
0.298989	1.29032	1.41333	0.579313
0.299509	1.29075	1.41391	0.578365
0.300028	1.29117	1.41449	0.577417
0.300547	1.2916	1.41507	0.576469
0.301066	1.29202	1.41565	0.575521
0.301585	1.29244	1.41623	0.574573
0.302103	1.29287	1.41681	0.573625
0.30262	1.29329	1.41738	0.572676
0.303138	1.29371	1.41796	0.571728
0.303655	1.29412	1.41853	0.57078
0.304171	1.29454	1.4191	0.569832
0.304687	1.29496	1.41968	0.568883
0.305203	1.29538	1.42025	0.567935
0.305719	1.29579	1.42081	0.566986
0.306234	1.29621	1.42138	0.566038
0.306749	1.29662	1.42195	0.565089
0.307263	1.29704	1.42251	0.564141
0.307777	1.29745	1.42308	0.563192
0.308291	1.29786	1.42364	0.562244
0.308805	1.29827	1.4242	0.561295
0.309318	1.29868	1.42476	0.560346
0.30983	1.29909	1.42532	0.559397
0.310343	1.2995	1.42588	0.558449
0.310855	1.29991	1.42644	0.5575
0.311367	1.30031	1.427	0.556551
0.311878	1.30072	1.42755	0.555602
0.312389	1.30113	1.42811	0.554653
0.3129	1.30153	1.42866	0.553704
0.31341	1.30193	1.42921	0.552755
0.31392	1.30234	1.42976	0.551806
0.31443	1.30274	1.43031	0.550857
0.314939	1.30314	1.43086	0.549908
0.315448	1.30354	1.43141	0.548959
0.315957	1.30394	1.43195	0.54801
0.316465	1.30434	1.4325	0.547061
0.316973	1.30474	1.43304	0.546112
0.317481	1.30513	1.43358	0.545163
0.317988	1.30553	1.43412	0.544213
0.318495	1.30593	1.43466	0.543264
0.319002	1.30632	1.4352	0.542315
0.319508	1.30672	1.43574	0.541365
0.320014	1.30711	1.43628	0.540416
0.32052	1.3075	1.43681	0.539466
0.321025	1.30789	1.43735	0.538517
0.32153	1.30828	1.43788	0.537568
0.322035	1.30867	1.43842	0.536618
0.32254	1.30906	1.43895	0.535668
0.323044	1.30945	1.43948	0.534719
0.323548	1.30984	1.44001	0.533769
0.324051	1.31023	1.44053	0.53282
0.324554	1.31061	1.44106	0.53187
0.325057	1.311	1.44159	0.53092
0.32556	1.31138	1.44211	0.52997
0.326062	1.31177	1.44264	0.529021
0.326564	1.31215	1.44316	0.528071
0.327065	1.31253	1.44368	0.527121
0.327567	1.31291	1.4442	0.526171
0.328068	1.31329	1.44472	0.525221
0.328568	1.31367	1.44524	0.524271
0.329069	1.31405	1.44575	0.523321
0.329569	1.31443	1.44627	0.522371
0.330068	1.31481	1.44678	0.521421
0.330568	1.31519	1.4473	0.520471
0.331067	1.31556	1.44781	0.519521
0.331566	1.31594	1.44832	0.518571
0.332064	1.31631	1.44883	0.517621
0.332563	1.31669	1.44934	0.516671
0.33306	1.31706	1.44985	0.515721
0.333558	1.31743	1.45036	0.51477
0.334055	1.3178	1.45086	0.51382
0.334552	1.31817	1.45137	0.51287
0.335049	1.31854	1.45187	0.511919
0.335546	1.31891	1.45237	0.510969
0.336042	1.31928	1.45287	0.510019
0.336538	1.31965	1.45337	0.509068
0.337033	1.32001	1.45387	0.508118
0.337528	1.32038	1.45437	0.507167
0.338023	1.32074	1.45487	0.506217
0.338518	1.32111	1.45537	0.505266
0.339012	1.32147	1.45586	0.504316
0.339507	1.32183	1.45635	0.503365
0.34	1.3222	1.45685	0.502414
0.340494	1.32256	1.45734	0.501464
0.340987	1.32292	1.45783	0.500513
0.34148	1.32328	1.45832	0.499562
0.341973	1.32364	1.45881	0.498612
0.342465	1.324	1.4593	0.497661
0.342957	1.32435	1.45978	0.49671
0.343449	1.32471	1.46027	0.495759
0.343941	1.32507	1.46075	0.494809
0.344432	1.32542	1.46123	0.493858
0.344923	1.32577	1.46172	0.492907
0.345414	1.32613	1.4622	0.491956
0.345904	1.32648	1.46268	0.491005
0.346394	1.32683	1.46316	0.490054
0.346884	1.32718	1.46363	0.489103
0.347374	1.32753	1.46411	0.488152
0.347863	1.32788	1.46459	0.487201
0.348352	1.32823	1.46506	0.48625
0.348841	1.32858	1.46553	0.485299
0.349329	1.32893	1.46601	0.484347
0.349817	1.32928	1.46648	0.483396
0.350305	1.32962	1.46695	0.482445
0.350793	1.32997	1.46742	0.481494
0.351281	1.33031	1.46789	0.480543
0.351768	1.33065	1.46835	0.479591
0.352255	1.331	1.46882	0.47864
0.352741	1.33134	1.46928	0.477689
0.353228	1.33168	1.46975	0.476737
0.353714	1.33202	1.47021	0.475786
0.354199	1.33236	1.47067	0.474834
0.354685	1.3327	1.47113	0.473883
0.35517	1.33304	1.47159	0.472931
0.355655	1.33338	1.47205	0.47198
0.35614	1.33371	1.47251	0.471028
0.356625	1.33405	1.47297	0.470077
0.357109	1.33438	1.47342	0.469125
0.357593	1.33472	1.47388	0.468174
0.358077	1.33505	1.47433	0.467222
0.35856	1.33539	1.47478	0.46627
0.359043	1.33572	1.47523	0.465319
0.359526	1.33605	1.47568	0.464367
0.360009	1.33638	1.47613	0.463415
0.360492	1.33671	1.47658	0.462464
0.360974	1.33704	1.47703	0.461512
0.361456	1.33737	1.47747	0.46056
0.361937	1.3377	1.47792	0.459608
0.362419	1.33802	1.47836	0.458656
0.3629	1.33835	1.47881	0.457704
0.363381	1.33868	1.47925	0.456753
0.363862	1.339	1.47969	0.455801
0.364342	1.33932	1.48013	0.454849
0.364822	1.33965	1.48057	0.453897
0.365302	1.33997	1.48101	0.452945
0.365782	1.34029	1.48144	0.451993
0.366262	1.34061	1.48188	0.451041
0.366741	1.34093	1.48231	0.450089
0.36722	1.34125	1.48275	0.449136
0.367699	1.34157	1.48318	0.448184
0.368177	1.34189	1.48361	0.447232
0.368655	1.34221	1.48404	0.44628
0.369133	1.34252	1.48447	0.445328
0.369611	1.34284	1.4849	0.444376
0.370089	1.34315	1.48533	0.443423
0.370566	1.34347	1.48575	0.442471
0.371043	1.34378	1.48618	0.441519
0.37152	1.3441	1.4866	0.440566
0.371997	1.34441	1.48703	0.439614
0.372473	1.34472	1.48745	0.438662
0.372949	1.34503	1.48787	0.437709
0.373425	1.34534	1.48829	0.436757
0.373901	1.34565	1.48871	0.435805
0.374376	1.34596	1.48913	0.434852
0.374851	1.34626	1.48955	0.4339
0.375326	1.34657	1.48996	0.432947
0.375801	1.34688	1.49038	0.431995
0.376276	1.34718	1.49079	0.431042
0.37675	1.34749	1.4912	0.430089
0.377224	1.34779	1.49162	0.429137
0.377698	1.3481	1.49203	0.428184
0.378172	1.3484	1.49244	0.427232
0.378645	1.3487	1.49285	0.426279
0.379118	1.349	1.49325	0.425326
0.379591	1.3493	1.49366	0.424374
0.380064	1.3496	1.49407	0.423421
0.380536	1.3499	1.49447	0.422468
0.381009	1.3502	1.49488	0.421515
0.381481	1.3505	1.49528	0.420563
0.381953	1.35079	1.49568	0.41961
0.382424	1.35109	1.49608	0.418657
0.382896	1.35138	1.49648	0.417704
0.383367	1.35168	1.49688	0.416751
0.383838	1.35197	1.49728	0.415798
0.384308	1.35227	1.49768	0.414845
0.384779	1.35256	1.49807	0.413892
0.385249	1.35285	1.49847	0.412939
0.385719	1.35314	1.49886	0.411986
0.386189	1.35343	1.49925	0.411033
0.386659	1.35372	1.49965	0.41008
0.387128	1.35401	1.50004	0.409127
0.387598	1.3543	1.50043	0.408174
0.388067	1.35458	1.50082	0.407221
0.388536	1.35487	1.5012	0.406268
0.389004	1.35516	1.50159	0.405315
0.389473	1.35544	1.50198	0.404362
0.389941	1.35573	1.50236	0.403409
0.390409	1.35601	1.50275	0.402455
0.390877	1.35629	1.50313	0.401502
0.391344	1.35657	1.50351	0.400549
0.391811	1.35686	1.50389	0.399596
0.392279	1.35714	1.50427	0.398642
0.392746	1.35742	1.50465	0.397689
0.393212	1.3577	1.50503	0.396736
0.393679	1.35797	1.5054	0.395782
0.394145	1.35825	1.50578	0.394829
0.394611	1.35853	1.50616	0.393876
0.395077	1.35881	1.50653	0.392922
0.395543	1.35908	1.5069	0.391969
0.396009	1.35936	1.50727	0.391015
0.396474	1.35963	1.50765	0.390062
0.396939	1.3599	1.50802	0.389108
